Valor (US$),Países,id,Quantidade (Kg),SubOpt
-,Africa do Sul,1,-,Vinhos de mesa
16.068.528,Alemanha,2,11.047.710,Vinhos de mesa
-,Argélia,3,-,Vinhos de mesa
-,Arábia Saudita,4,-,Vinhos de mesa
730.091,Argentina,5,446.315,Vinhos de mesa
-,Armênia,6,-,Vinhos de mesa
-,Austrália,7,-,Vinhos de mesa
5.612,Áustria,8,910,Vinhos de mesa
-,Bermudas,9,-,Vinhos de mesa
-,Bélgica,10,-,Vinhos de mesa
-,Bolívia,11,-,Vinhos de mesa
-,Bósnia-Herzegovina,12,-,Vinhos de mesa
-,Brasil,13,-,Vinhos de mesa
-,Bulgária,14,-,Vinhos de mesa
-,Canada,15,-,Vinhos de mesa
3.822.138,Chile,16,2.347.724,Vinhos de mesa
-,China,17,-,Vinhos de mesa
-,"Coreia do Sul, República",18,-,Vinhos de mesa
-,Croácia,19,-,Vinhos de mesa
-,Cuba,20,-,Vinhos de mesa
-,Emirados Árabes Unidos,21,-,Vinhos de mesa
-,Eslovênia,22,-,Vinhos de mesa
-,Eslováquia,23,-,Vinhos de mesa
362.863,Espanha,24,166.267,Vinhos de mesa
212.884,Estados Unidos,25,93.789,Vinhos de mesa
3.935.308,França,26,1.821.215,Vinhos de mesa
-,Geórgia,27,-,Vinhos de mesa
-,"Geórgia do Sul e Sandwich do Sul, Ilhas",28,-,Vinhos de mesa
-,Grécia,29,-,Vinhos de mesa
-,Hong Kong,30,-,Vinhos de mesa
-,Hungria,31,-,Vinhos de mesa
-,Indonésia,32,-,Vinhos de mesa
-,Irlanda,33,-,Vinhos de mesa
-,Israel,34,-,Vinhos de mesa
5.058.009,Itália,35,2.745.848,Vinhos de mesa
-,Japão,36,-,Vinhos de mesa
36.000,Iugoslávia,37,25.920,Vinhos de mesa
-,Líbano,38,-,Vinhos de mesa
-,Luxemburgo,39,-,Vinhos de mesa
-,Macedônia,40,-,Vinhos de mesa
-,Marrocos,41,-,Vinhos de mesa
-,México,42,-,Vinhos de mesa
-,Moldávia,43,-,Vinhos de mesa
-,Montenegro,44,-,Vinhos de mesa
-,Noruega,45,-,Vinhos de mesa
-,Nova Zelândia,46,-,Vinhos de mesa
-,Países Baixos (Holanda),47,-,Vinhos de mesa
-,Panamá,48,-,Vinhos de mesa
-,Paraguai,49,-,Vinhos de mesa
-,Peru,50,-,Vinhos de mesa
-,Porto Rico,51,-,Vinhos de mesa
4.471.214,Portugal,52,2.549.247,Vinhos de mesa
-,Reino Unido,53,-,Vinhos de mesa
-,Republica Dominicana,54,-,Vinhos de mesa
-,Romênia,55,-,Vinhos de mesa
-,Rússia,56,-,Vinhos de mesa
-,San Marino,57,-,Vinhos de mesa
-,Sérvia,58,-,Vinhos de mesa
-,Síria,59,-,Vinhos de mesa
-,Suazilândia,60,-,Vinhos de mesa
-,Suíça,61,-,Vinhos de mesa
-,"Tcheca, República",62,-,Vinhos de mesa
-,Tunísia,63,-,Vinhos de mesa
-,Turquia,64,-,Vinhos de mesa
-,Ucrânia,65,-,Vinhos de mesa
72.528,Uruguai,66,35.219,Vinhos de mesa
-,Não consta na tabela,67,-,Vinhos de mesa
-,Não declarados,68,-,Vinhos de mesa
289.230,Outros,69,174.758,Vinhos de mesa
35.064.405,Total,70,21.454.922,Vinhos de mesa
-,Africa do Sul,71,-,Espumantes
84.842,Alemanha,72,37.942,Espumantes
32.089,Argentina,73,8.270,Espumantes
-,Austrália,74,-,Espumantes
-,Áustria,75,-,Espumantes
-,Bermudas,76,-,Espumantes
-,Bahamas,77,-,Espumantes
-,Bélgica,78,-,Espumantes
-,Brasil,79,-,Espumantes
-,Bulgária,80,-,Espumantes
-,Canada,81,-,Espumantes
13.224,Chile,82,4.590,Espumantes
-,Croácia,83,-,Espumantes
-,Cuba,84,-,Espumantes
-,Emirados Árabes Unidos,85,-,Espumantes
-,Eslovênia,86,-,Espumantes
601.583,Espanha,87,182.952,Espumantes
-,Estados Unidos,88,-,Espumantes
1.602.204,França,89,209.274,Espumantes
-,Geórgia,90,-,Espumantes
-,Granada,91,-,Espumantes
-,Grécia,92,-,Espumantes
-,Hong Kong,93,-,Espumantes
-,Hungria,94,-,Espumantes
-,Indonésia,95,-,Espumantes
-,Irlanda,96,-,Espumantes
-,Israel,97,-,Espumantes
501.486,Itália,98,232.676,Espumantes
-,Japão,99,-,Espumantes
-,Luxemburgo,100,-,Espumantes
-,México,101,-,Espumantes
-,Moldávia,102,-,Espumantes
-,Nova Zelândia,103,-,Espumantes
-,Países Baixos,104,-,Espumantes
-,Panamá,105,-,Espumantes
-,Peru,106,-,Espumantes
43.097,Portugal,107,17.827,Espumantes
-,Reino Unido,108,-,Espumantes
-,Romênia,109,-,Espumantes
-,Suíça,110,-,Espumantes
-,Tunísia,111,-,Espumantes
-,Ucrânia,112,-,Espumantes
