Cultivar,Sem definição,SubOpt,id,Quantidade (Kg)
TINTAS,,Viníferas,1,32.850.915
Alicante Bouschet,,Viníferas,2,2.040.198
Ancelota,,Viníferas,3,733.907
Aramon,,Viníferas,4,-
Alfrocheiro,,Viníferas,5,-
Arinarnoa,,Viníferas,6,69.757
Aspirant Bouschet,,Viníferas,7,18.086
Barbera,,Viníferas,8,24.218
Bonarda,,Viníferas,9,-
Cabernet Franc,,Viníferas,10,2.116.893
Cabernet Sauvignon,,Viníferas,11,7.242.258
Caladoc,,Viníferas,12,8.500
Campanario,,Viníferas,13,-
Canaiolo,,Viníferas,14,-
Carignan,,Viníferas,15,-
Carmenere,,Viníferas,16,69.275
Castelão,,Viníferas,17,-
Corvina,,Viníferas,18,1.890
Croatina,,Viníferas,19,-
Cinsaut,,Viníferas,20,3.430
Dom Felder,,Viníferas,21,-
Dolcetto,,Viníferas,22,-
Durif,,Viníferas,23,-
Egiodola,,Viníferas,24,1.567.341
Ekigaina,,Viníferas,25,1.340
Festival (Sugraone),,Viníferas,26,-
Franconia,,Viníferas,27,-
Freisa,,Viníferas,28,22.610
Gamay St Romain,,Viníferas,29,12.835
Gamay Beaujolais,,Viníferas,30,150.331
Grand Noir,,Viníferas,31,-
Grenache,,Viníferas,32,-
Jaen,,Viníferas,33,-
Lagrein,,Viníferas,34,1.430
Lambrusco,,Viníferas,35,61.779
Malbec,,Viníferas,36,740.327
Marzemina,,Viníferas,37,-
Merlot,,Viníferas,38,8.309.646
Marselan,,Viníferas,39,385.945
Mistura de uvas viníferas tinto,,Viníferas,40,-
Molinera,,Viníferas,41,1.480
Montepulciano,,Viníferas,42,28.008
Moscato Bailey,,Viníferas,43,-
Napa Gamay,,Viníferas,44,-
Nebbiolo,,Viníferas,45,5.494
Petit Verdot,,Viníferas,46,230.640
Petite Sirah,,Viníferas,47,92.818
Pinotage,,Viníferas,48,474.105
Pinot Noir,,Viníferas,49,3.676.000
Pinot Saint George,,Viníferas,50,-
Piriquita,,Viníferas,51,-
Primitivo,,Viníferas,52,-
Rebo,,Viníferas,53,44.440
Refosco,,Viníferas,54,5.240
Rondinella,,Viníferas,55,1.899
Ruby Cabernet,,Viníferas,56,382.994
Sangiovese,,Viníferas,57,89.404
Saperavi,,Viníferas,58,-
Sira (falsa),,Viníferas,59,-
Tannat,,Viníferas,60,3.668.851
Tempranillo,,Viníferas,61,357.637
Teroldego,,Viníferas,62,87.034
Torrontes,,Viníferas,63,14.630
Tinta Barroca,,Viníferas,64,-
Tinta Roriz,,Viníferas,65,-
Touriga Francesa,,Viníferas,66,-
Touriga Nacional,,Viníferas,67,108.245
Tinta Madeira,,Viníferas,68,-
Tintoria,,Viníferas,69,-
Trincdeira,,Viníferas,70,-
Trousseau,,Viníferas,71,-
Zinfandel,,Viníferas,72,-
Outras1,,Viníferas,73,-
BRANCAS E ROSADAS,,Viníferas,74,44.058.213
Aliatico,,Viníferas,75,-
Aligote,,Viníferas,76,-
Altesse,,Viníferas,77,-
Alvarinho,,Viníferas,78,41.225
Arriloba,,Viníferas,79,5.280
Auxerrois,,Viníferas,80,-
Burger,,Viníferas,81,-
Chardonnay,,Viníferas,82,7.856.910
Chasselas,,Viníferas,83,-
Chenin Blanc,,Viníferas,84,266.524
Clairette(1),,Viníferas,85,-
Colombard,,Viníferas,86,535.573
Flora,,Viníferas,87,5.810
Garganega,,Viníferas,88,-
Gewurztraminer,,Viníferas,89,223.350
Gouveio,,Viníferas,90,-
Gros Manseng,,Viníferas,91,5.680
Italia (Pirovano 65) (PE),,Viníferas,92,180
Maccabeo,,Viníferas,93,-
Malvasia,,Viníferas,94,-
Malvasia Amarela,,Viníferas,95,44.445
Malvasia Bianca,,Viníferas,96,629.101
